"Yearmon","Great.deal","Quite.a.lot","Some","Very.little","None..vol..","No.opinion"
"2021 Jun","37 ","32 ","22 ","9 ","* ","1"
"2020 Jun","40 ","32 ","20 ","8 ","1 ","*"
"2019 Jun","45 ","28 ","18 ","8 ","* ","*"
"2018 Jun","43 ","31 ","20 ","5 ","* ","1"
"2017 Jun","44 ","28 ","21 ","7 ","* ","*"
"2016 Jun","41 ","32 ","19 ","7 ","* ","1"
"2015 Jun","42 ","30 ","19 ","6 ","1 ","1"
"2014 Jun","39 ","35 ","20 ","6 ","1 ","*"
"2013 Jun","43 ","33 ","17 ","6 ","* ","1"
"2012 Jun","43 ","32 ","18 ","5 ","1 ","1"
"2011 Jun","47 ","31 ","16 ","3 ","* ","1"
"2010 Jul","44 ","32 ","18 ","4 ","1 ","1"
"2009 Jun","45 ","37 ","12 ","5 ","* ","1"
"2008 Jun","45 ","26 ","20 ","7 ","1 ","1"
"2007 Jun","39 ","30 ","21 ","8 ","1 ","*"
"2006 Jun","41 ","32 ","19 ","5 ","1 ","1"
"2005 May","42 ","32 ","18 ","7 ","1 ","*"
"2004 May","36 ","39 ","19 ","5 ","* ","1"
"2003 Jun","48 ","34 ","14 ","4 ","* ","*"
"2002 Jun","43 ","36 ","16 ","5 ","* ","*"
"2001 Jun","32 ","34 ","24 ","6 ","2 ","2"
"2000 Jun","25 ","39 ","26 ","7 ","1 ","2"
"1999 Jun","34 ","34 ","26 ","6 ","* ","*"
"1998 Jun","33 ","31 ","25 ","8 ","1 ","2"
"1997 Jul","30 ","30 ","27 ","10 ","2 ","1"
"1996 May","30 ","36 ","25 ","7 ","* ","2"
"1995 Apr","33 ","31 ","27 ","7 ","1 ","1"
"1994 Mar","30 ","34 ","26 ","8 ","* ","2"
"1993 Mar","32 ","35 ","23 ","8 ","1 ","1"
"1991 Oct","35 ","34 ","20 ","8 ","1 ","3"
"1991 Feb","52 ","33 ","11 ","3 ","* ","1"
"1990 Aug","37 ","31 ","22 ","7 ","1 ","2"
"1989 Sep","31 ","32 ","26 ","9 ","* ","3"
"1988 Sep","23 ","35 ","30 ","9 ","1 ","2"
"1987 Jul","24 ","37 ","28 ","9 ","1 ","2"
"1986 Jul","29 ","34 ","24 ","10 ","1 ","2"
"1985 May","24 ","37 ","28 ","8 ","1 ","2"
"1984 Oct","28 ","30 ","24 ","15 ","-- ","2"
"1983 Aug","23 ","30 ","29 ","12 ","1 ","5"
"1981 Nov","22 ","28 ","29 ","14 ","6 ","2"
"1979 Apr","25 ","29 ","29 ","14 ","1 ","3"
"1977 Jan","23 ","34 ","25 ","11 ","1 ","6"
"1975 May","27 ","31 ","25 ","11 ","1 ","5"
